Company,Tax Name,Filed By
XRC Labs,,
INSTITUTE FOR EQUITY & INCLUSION SCIENCES,,
"Casetext, Inc",,
"Kubient, Inc.",Federal Income Tax,PF
"Kubient, Inc.",Social Security,PF
"Kubient, Inc.",Employer Social Security,PF
"Kubient, Inc.",Medicare,PF
"Kubient, Inc.",Employer Medicare Tax,PF
"Kubient, Inc.",Federal Unemployment Tax,PF
"Kubient, Inc.",New York State Unemployment Tax,PF
"Kubient, Inc.",New York Reemployment Fund,PF
"Kubient, Inc.",NY State Disability Insurance (SDI),MT
"Kubient, Inc.",New York State Withholdings Tax,PF
"Kubient, Inc.",New York City Tax,PF
"Kubient, Inc.",Additional Medicare,PF
"Human Design, LLC",,
"Lendeavor, Inc",,
The Shore Church,,
Z Strategic Excellence LLC,,
Parkfield Tech,,
Lonohana Estate Chocolate LLC,Additional Medicare,PF
Lonohana Estate Chocolate LLC,Hawaii Unemployment Insurance Tax,MT
Lonohana Estate Chocolate LLC,Hawaii Employment & Training Assessment,MT
Joshua D Hargrove,,
Building Labs Inc,,
"bitmovin, Inc.",,
Elsemary & Salem Dental Corp,,
Pinnell Marketing LLC,,
"DMBS Holdings, Inc.",,
"Montellese Family Chiropractic, Inc.",,
"Atelier Interior Design, LLC",,
Vaughn & Sons Construction Inc,,
Predictronics Corp,,
Rob Stewart Insurance Agency Inc.,,
Boomerang Information Services Inc,,
RISE & SET LLC,,
"Lily Han, MD, PA",,
Bruno Painting LLC,,
Presence Product Group LLC,California State Tax,PF
Presence Product Group LLC,California State Unemployment Tax,PF
Presence Product Group LLC,California Employment Training Tax,PF
Presence Product Group LLC,CA state disability insurance,PF
Presence Product Group LLC,New York State Unemployment Tax,PF
Presence Product Group LLC,New York Reemployment Fund,PF
Presence Product Group LLC,NY State Disability Insurance (SDI),MT
Presence Product Group LLC,NY Family Leave Insurance,MT
"Master Enterprises, Inc.",,
Code Crew LLC,,
Habit Inc,,
Behold.ai Technologies Inc,Federal Income Tax,PF
Behold.ai Technologies Inc,Social Security,PF
Behold.ai Technologies Inc,Employer Social Security,PF
Behold.ai Technologies Inc,Medicare,PF
Behold.ai Technologies Inc,Employer Medicare Tax,PF
Behold.ai Technologies Inc,Federal Unemployment Tax,PF
Behold.ai Technologies Inc,New York State Unemployment Tax,PF
Behold.ai Technologies Inc,New York Reemployment Fund,PF
Behold.ai Technologies Inc,New York State Withholdings Tax,PF
Behold.ai Technologies Inc,New York City Tax,PF
Behold.ai Technologies Inc,Additional Medicare,PF
Behold.ai Technologies Inc,NY State Disability Insurance (SDI),MT
Sealed Inc.,,
"Credly, Inc.",,
Stratum Inc.,,
"Red Earth Design, Inc.",,
"Bridge to the Future, LLC",,
"Paula G Elmi, DMD, APC",,
Cohort Intelligence Corporation,,
"New Learning Ventures, Inc.",,
Wherefor Inc.,,
"bitmovin, Inc.",,
MC Renewable Energy LLC,,
"Whitewood Cider, LLC",Washington State Unemployment Tax,PF
"Whitewood Cider, LLC",Washington Employment Admin Fund,PF
"Whitewood Cider, LLC",Washington Workers' Comp Insurance - Employee,PF
"Whitewood Cider, LLC",Washington Workers' Comp Insurance - Employer,PF
"Whitewood Cider, LLC",WA Family and Medical Leave Insurance (Employee),MT
"CV Auto Works, Inc.",,
Stone House Bread,Michigan State Unemployment Tax,MT
Stone House Bread,Michigan Obligation Assessment Tax,MT
Kong Inc.,,
"A Step Up Veterinary, Inc.",,
