company_id,agent_id,agency_mastertax_id,due_date,period_end,agency_name,agency_state,amendment
7757616923496567,1410502713874369,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
1389641286278750,1410502713879054,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
7757616923480256,1410502713874369,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923493077,1410502713874369,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923495744,1410502713874369,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923501595,1410502713874369,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923498574,1410502713874369,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923528628,1410502713874369,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923526319,1410502713903139,WA0000-010,07/31/19,06/30/19,WA State Employment Security Department,WA,false
7757616923533069,1410502713944477,IL0000-010,07/31/19,06/30/19,Illinois Unemployment,IL,false
7757616923536950,1410502713874369,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923559381,1410502713874369,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923550035,1410502713874369,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923557885,1410502713874369,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923569887,1410502713874369,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
1393188436277665,1410502713874369,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
1398723250745572,1410502713898157,WA0000-150,07/31/19,06/30/19,Department of Labor and Industries,WA,false
1409079702838842,1410502713874369,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
1411061497941073,1410502713874369,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923479693,1410502713879054,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
1369946360961000,1410502713879054,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
1405370341815481,1410502713909353,NY0000-010,10/31/19,09/30/19,New York Unemployment,NY,false
1405709642051727,1410502713909353,NY0000-010,10/31/19,09/30/19,New York Unemployment,NY,false
1364449739318000,7746259318775679,WA0000-014,07/31/19,03/31/19,Washington - Family and Medical Leave Insurance,WA,false
1364449739318000,7746259318771313,OK0000-001,04/22/19,03/31/19,Oklahoma Tax Commission,OK,false
1388709772733808,7746259318771903,PA9903-EIT,04/30/19,03/31/19,BCTCB - EIT,PA,false
1389832742650195,7746259318775679,WA0000-014,07/31/19,03/31/19,Washington - Family and Medical Leave Insurance,WA,false
1406238567792164,7746259318771371,OH0000-001,07/31/19,06/30/19,Treasurer of State of Ohio,OH,false
1403640602045234,7746259318771309,MO0001-001,04/30/19,03/31/19,"City of Kansas City, Finance Department",MO,false
1402689898446659,7746259318771700,PA0000-010,04/30/19,03/31/19,Pennsylvania UC Fund,PA,false
1402689898446659,7746259318771701,PA0000-001,04/30/19,03/31/19,Pennsylvania Department of Revenue,PA,false
1405698991970554,1410502715148354,NJ0000-001,04/30/19,03/31/19,Gross Income Tax,NJ,false
1409079755797035,1410502713874369,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923480234,1410502713909353,NY0000-010,04/30/19,03/31/19,New York Unemployment,NY,false
7757616923479816,1410502713874369,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923482614,1410502713879054,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923481062,7746259318772097,PA9915-EIT,04/30/19,03/31/19,Lancaster Co. Tax Collection Bureau-EIT,PA,false
