company_id,agency_mastertax_id,due_date,period_end,agency_name,agency_state,amendment
1400196143951434,IL0000-001,07/31/19,06/30/19,Illinois Withholding,IL,false
7757616923480256,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923482899,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923487582,WA0000-010,10/31/19,09/30/19,WA State Employment Security Department,WA,false
7757616923515197,TX0000-010,07/31/19,06/30/19,TWC,TX,false
7757616923536399,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923536950,IL0000-010,07/31/19,06/30/19,Illinois Unemployment,IL,false
7757616923536950,IL0000-001,04/30/19,03/31/19,Illinois Withholding,IL,false
7757616923550803,WA0000-010,10/31/19,09/30/19,WA State Employment Security Department,WA,false
7757616923551377,NY0000-010,10/31/19,09/30/19,New York Unemployment,NY,false
7757616923553841,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923562278,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923562881,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923574145,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923571403,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
1364449739318000,IL0000-010,07/31/19,06/30/19,Illinois Unemployment,IL,false
1402689898446659,NY0000-001,03/20/19,03/31/19,New York Withholding,NY,false
7757616923479693,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
1369946360961000,WA0000-010,10/31/19,09/30/19,WA State Employment Security Department,WA,false
1369946360961000,IL0000-001,07/31/19,06/30/19,Illinois Withholding,IL,false
1405698991970554,NY0000-010,04/30/19,03/31/19,New York Unemployment,NY,false
1403640602045234,WA0000-150,10/31/19,09/30/19,Department of Labor and Industries,WA,false
1389038010553118,GA0000-010,04/30/19,03/31/19,Georgia Department of Labor,GA,false
1403717925647021,CO0000-010,04/30/19,03/31/19,Colorado State Treasurer,CO,false
1405698991970554,FL0000-010,04/30/19,03/31/19,Florida Department of Revenue,FL,false
1409944625125173,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923479248,NY0000-010,07/31/19,06/30/19,New York Unemployment,NY,false
1409872652666460,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
1409872652666460,WA0000-010,04/30/19,03/31/19,WA State Employment Security Department,WA,false
7757616923481062,OH0000-010,07/31/19,06/30/19,Ohio Department of Job & Family Service,OH,false
1409079749239544,HI0000-010,04/30/19,03/31/19,Hawaii State Tax Collector,HI,false
1409872652666460,GA0000-001,04/30/19,03/31/19,Georgia Department of Revenue,GA,false
7757616923479693,OR0000-001,04/30/19,03/31/19,Oregon Department of Revenue,OR,false
7757616923481871,VA0000-001,04/30/19,03/31/19,Virginia Department of Taxation,VA,false
7757616923482268,PA9920-EIT,04/30/19,03/31/19,York Adams Tax Bureau - EIT,PA,false
7757616923486328,NY0000-001,04/30/19,03/31/19,New York Withholding,NY,false
7757616923486168,MO0000-010,04/30/19,03/31/19,MO Department of Labor and Industrial Relations,MO,false
7757616923489502,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923486654,OH0000-010,10/31/19,09/30/19,Ohio Department of Job & Family Service,OH,false
7757616923489738,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923491655,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923493122,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
7757616923493122,OR0000-001,04/30/19,03/31/19,Oregon Department of Revenue,OR,false
7757616923496339,GA0000-010,04/30/19,03/31/19,Georgia Department of Labor,GA,false
7757616923495744,AZ0000-010,04/30/19,03/31/19,Arizona Unemployment,AZ,false
7757616923495866,OR0000-001,04/30/19,03/31/19,Oregon Department of Revenue,OR,false
7757616923498737,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923498737,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923501395,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923510670,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923507534,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923501859,OH0000-001,07/31/19,06/30/19,Treasurer of State of Ohio,OH,false
1381203291765597,FL0000-010,04/30/19,03/31/19,Florida Department of Revenue,FL,false
1393188436277665,NY0000-001,05/02/19,06/30/19,New York Withholding,NY,false
1364449739318000,WA0000-014,10/31/19,09/30/19,Washington - Family and Medical Leave Insurance,WA,false
1364449739318000,IN0000-010,07/31/19,06/30/19,Department of Workforce Development,IN,false
1364449739318000,AZ0000-010,07/31/19,06/30/19,Arizona Unemployment,AZ,false
1386533349360219,MA0000-010,07/31/19,06/30/19,MA Division of Unemployment Assistance,MA,false
1389038010553118,MN0000-010,07/31/19,06/30/19,Unemployment Insurance Minnesota,MN,false
1389641286278750,OR0000-001,07/31/19,06/30/19,Oregon Department of Revenue,OR,false
1389832742650195,AZ0000-010,07/31/19,06/30/19,Arizona Unemployment,AZ,false
1374778888419723,OR0000-001,07/31/19,06/30/19,Oregon Department of Revenue,OR,false
1401541940267367,CO0000-010,07/31/19,06/30/19,Colorado State Treasurer,CO,false
1405709642051727,MI0000-010,07/25/19,06/30/19,Unemployment Insurance Agency,MI,false
7757616923482614,WA0000-150,10/31/19,09/30/19,Department of Labor and Industries,WA,false
7757616923483553,OH0000-001,06/17/19,05/31/19,Treasurer of State of Ohio,OH,false
1409872652666460,GA0000-010,07/31/19,06/30/19,Georgia Department of Labor,GA,false
1409079749239544,CO0000-010,07/31/19,06/30/19,Colorado State Treasurer,CO,false
1409079702838842,OK0000-010,07/31/19,06/30/19,Oklahoma Employment Security Commission,OK,false
7757616923479816,GA0000-010,07/31/19,06/30/19,Georgia Department of Labor,GA,false
7757616923481871,CO0000-010,07/31/19,06/30/19,Colorado State Treasurer,CO,false
7757616923484559,FL0000-010,07/31/19,06/30/19,Florida Department of Revenue,FL,false
7757616923486328,AZ0000-010,07/31/19,06/30/19,Arizona Unemployment,AZ,false
7757616923485438,NJ0000-001,07/30/19,06/30/19,Gross Income Tax,NJ,false
1388709772733808,PA0000-001,10/31/19,09/30/19,Pennsylvania Department of Revenue,PA,false
1387157432099204,CT0000-010,10/31/19,09/30/19,"Administrator, Unemployment Compensation",CT,false
1389641286278750,HI0000-010,10/31/19,09/30/19,Hawaii State Tax Collector,HI,false
1389641286278750,CO0000-010,10/31/19,09/30/19,Colorado State Treasurer,CO,false
1403640602045234,NY0000-001,09/18/19,09/30/19,New York Withholding,NY,false
1396977073024176,DC0000-010,10/31/19,09/30/19,DCDOES,DC,false
1405709642051727,MI0006-001,10/31/19,09/30/19,Grand Rapids,MI,false
1381203291765597,FL0000-010,10/31/19,09/30/19,Florida Department of Revenue,FL,false
1402689898446659,GA0000-010,10/31/19,09/30/19,Georgia Department of Labor,GA,false
1409872652666460,TN0000-010,10/31/19,09/30/19,TN Dept of Labor & Workforce Development,TN,false
7757616923481062,MN0000-010,10/31/19,09/30/19,Unemployment Insurance Minnesota,MN,false
7757616923481871,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923479248,NY0000-001,10/31/19,09/30/19,New York Withholding,NY,false
7757616923479816,UT0000-001,10/31/19,09/30/19,State Tax Commission,UT,false
1409079702838842,UT0000-010,10/31/19,09/30/19,Department of Workforce Services,UT,false
7757616923485438,NJ0000-001,10/30/19,09/30/19,Gross Income Tax,NJ,false
7757616923496895,OH0000-001,07/31/19,06/30/19,Treasurer of State of Ohio,OH,false
7757616923493122,SC0000-001,07/31/19,06/30/19,S.C. Department of Revenue,SC,false
7757616923493456,MO0002-001,07/31/19,06/30/19,City of St. Louis,MO,false
7757616923498412,WA0000-150,10/31/19,09/30/19,Department of Labor and Industries,WA,false
7757616923505163,PA9914-EIT,07/31/19,06/30/19,Keystone Collections Group - EIT,PA,false
7757616923498412,NJ0000-001,07/30/19,06/30/19,Gross Income Tax,NJ,false
7757616923512855,IN0000-010,07/31/19,06/30/19,Department of Workforce Development,IN,false
7757616923492480,ID0000-010,10/31/19,09/30/19,Idaho DOL,ID,false
7757616923490338,MN0000-010,10/31/19,09/30/19,Unemployment Insurance Minnesota,MN,false
7757616923493122,AZ0000-010,10/31/19,09/30/19,Arizona Unemployment,AZ,false
7757616923493122,PA0000-001,10/31/19,09/30/19,Pennsylvania Department of Revenue,PA,false
7757616923495866,OR0000-001,10/31/19,09/30/19,Oregon Department of Revenue,OR,false
7757616923498737,PA0000-010,10/31/19,09/30/19,Pennsylvania UC Fund,PA,false
7757616923498737,ME0000-001,10/31/19,09/30/19,Maine Revenue Services,ME,false
7757616923498737,NC0000-001,10/31/19,09/30/19,North Carolina Department of Revenue,NC,false
7757616923499132,PA0000-010,10/31/19,09/30/19,Pennsylvania UC Fund,PA,false
1387157432099204,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
1393006760872110,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923484559,WA0000-010,10/31/19,09/30/19,WA State Employment Security Department,WA,false
7757616923482899,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923484065,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
1386533349360219,NY0000-001,01/18/19,03/31/19,New York Withholding,NY,false
7757616923493077,WA0000-010,07/31/19,06/30/19,WA State Employment Security Department,WA,false
7757616923495744,IL0000-010,07/31/19,06/30/19,Illinois Unemployment,IL,false
7757616923530705,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923540533,NY0000-010,07/31/19,06/30/19,New York Unemployment,NY,false
7757616923559381,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923576207,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
1364449739318000,IL0000-001,07/31/19,06/30/19,Illinois Withholding,IL,false
1409079749239544,NY0000-001,03/05/19,03/31/19,New York Withholding,NY,false
7757616923481171,WA0000-010,04/30/19,03/31/19,WA State Employment Security Department,WA,false
7757616923483553,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
1381203291765597,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
1381203291765597,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
1381203291765597,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
1389038010553118,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
1388709772733808,NY0000-010,10/31/19,09/30/19,New York Unemployment,NY,false
1389038010553118,WA0000-150,04/30/19,03/31/19,Department of Labor and Industries,WA,false
1364449739318000,IA0000-001,04/30/19,03/31/19,Treasurer State of Iowa,IA,false
1369946360961000,MI0000-010,04/25/19,03/31/19,Unemployment Insurance Agency,MI,false
1388709772733808,MA0000-010,04/30/19,03/31/19,MA Division of Unemployment Assistance,MA,false
1386533349360219,VT0000-001,04/25/19,03/31/19,Vermont Department of Taxes,VT,false
1387157432099204,PA3068-051,04/30/19,03/31/19,York Adams Tax Bureau - LST,PA,false
1387157432099204,GA0000-010,04/30/19,03/31/19,Georgia Department of Labor,GA,false
1387157432099204,GA0000-001,04/30/19,03/31/19,Georgia Department of Revenue,GA,false
1389832742650195,GA0000-010,04/30/19,03/31/19,Georgia Department of Labor,GA,false
1393006760872110,VT0000-010,04/30/19,03/31/19,Vermont Department of Labor,VT,false
1406238567792164,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
1396977073024176,DC0000-010,04/30/19,03/31/19,DCDOES,DC,false
