Company,Panda Link,Tax Name,Master Tax ID,Original Subject Wages,Original Gross Subject Wages,Original Amount,Corrected Subject Wages,Corrected Gross Subject Wages,Corrected Amount,Payment Amount,Comments,Unique ID,Period Requested,Y / Q,Tier,Wage diff,Gross wage diff,Tax Diff,Prepaid?,Type,Tax Lib,MasterTax Major,MT Paper/Efile,Reviewer,Week,Start Time,End Time,Status,Payment Made?,Fake News?,Notes,Root Cause,Helper,TRes
"@YourGate, LLC",https://app.gusto.com/panda/companies/7757616923652183,Minnesota State Withholding Tax,MN0000-001,"$58,894.71","$58,894.71","$2,560.00","$59,194.01","$59,194.01","$2,560.00",$0.00,,2019243657.5472222222MN0000-0017757616923652183,7/5/2019,2019 2,Tier 2,$299.30,$299.30,$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",MN0000-001,Hand Key,Ian,12/9/2019,,12/14/2019,Done,,,	1-670-233-120,Benefit,,23.0
2-CM Technologies LLC,https://app.gusto.com/panda/companies/7757616923670902,Maryland State Withholding Tax,MD0000-001,"$79,582.68","$79,582.68","$5,701.24","$78,081.30","$78,081.30","$5,701.24",$0.00,"Amending Q1 2019 to reclassify Cortez Duncan's 2% shareholder insurance to pre-tax for GTL and health insurance 02808568 (madeline.brozka@gusto.com at Apr 29, 2019 at 12:01 PM)",2019143584.4631944444MD0000-0017757616923670902,4/26/2019,2019 1,Tier 2,"-$1,501.38","-$1,501.38",$0.00,No,SW reduction,"Employee was overpaid wages, funds have been recouped",MD0000-001,Conga,,,,,,,,,,,
2M Consulting,https://app.gusto.com/panda/companies/7757616923751131,Colorado State Unemployment Insurance Tax,CO0000-010,"$70,307.39","$155,945.43","$1,244.44","$70,738.91","$156,376.95","$1,252.08",$7.64,,2019243732.2951388889CO0000-0107757616923751131,9/20/2019,2019 2,Tier 2,$431.52,$431.52,$7.64,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0000-010,Manual,Helper,12/9/2019,,12/14/2019,"Needs Printing,Needs Payment",Yes,No,,Benefit,Maggie,12.0
2M Consulting,https://app.gusto.com/panda/companies/7757616923751131,Colorado State Unemployment Insurance Tax,CO0000-010,"$142,683.83","$163,265.02","$3,524.30","$142,791.71","$163,372.90","$3,526.96",$2.66,,2019143732.2951388889CO0000-0107757616923751131,9/20/2019,2019 1,Tier 2,$107.88,$107.88,$2.66,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0000-010,Manual,Helper,12/9/2019,,12/14/2019,"Needs Printing,Needs Payment",Yes,No,,Benefit,Maggie,12.0
2M Consulting,https://app.gusto.com/panda/companies/7757616923751131,Colorado State Withholding Tax,CO0000-001,"$155,668.53","$155,668.53","$5,068.00","$156,100.05","$156,100.05","$5,081.00",$13.00,,2019243732.2951388889CO0000-0017757616923751131,9/20/2019,2019 2,Tier 1,$431.52,$431.52,$13.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0000-001,Conga,,,,,,,,,,,
2M Consulting,https://app.gusto.com/panda/companies/7757616923751131,Colorado State Withholding Tax,CO0000-001,"$163,263.02","$163,263.02","$5,851.00","$163,370.90","$163,370.90","$5,851.00",$0.00,,2019143732.2951388889CO0000-0017757616923751131,9/20/2019,2019 1,Tier 1,$107.88,$107.88,$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0000-001,Conga,,,,,,,,,,,
3R Technology Solutions,https://app.gusto.com/panda/companies/7757616923534840,"Denver OPT, for employees",CO0080-051,"$82,773.19","$86,510.91",$218.50,"$72,227.62","$75,965.34",$201.25,$0.00,"AWC for EE Timothy in https://app.gusto.com/panda/payrolls/7757500918633080. Need Q1 amend (austin.breedlove@gusto.com at Sep 10, 2019 at  1:05 PM)",2019143657.2972222222CO0080-0517757616923534840,7/5/2019,2019 1,Tier 3,"-$10,545.57","-$10,545.57",-$17.25,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0080-051,Manual,Dan,12/9/2019,,12/9/2019,Done,,Yes,"Not filing amendment b/c admin was abusive and banned from using Gusto

",,,22.0
3R Technology Solutions,https://app.gusto.com/panda/companies/7757616923534840,Colorado State Withholding Tax,CO0000-001,"$122,320.48","$122,320.48","$4,415.00","$122,169.16","$122,169.16","$4,415.00",$0.00,"AWC for EE Timothy in https://app.gusto.com/panda/payrolls/7757500918633080. Need Q1 amend (austin.breedlove@gusto.com at Sep 10, 2019 at  1:05 PM)",2019143657.2972222222CO0000-0017757616923534840,7/5/2019,2019 1,Tier 1,-$151.32,-$151.32,$0.00,No,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0000-001,Conga,,,,,,,,,,,
3R Technology Solutions,https://app.gusto.com/panda/companies/7757616923534840,"Denver OPT, for employers",CO0080-137,"$28,181.28","$28,268.13",$152.00,"$24,671.28","$24,758.13",$140.00,$0.00,"AWC for EE Timothy in https://app.gusto.com/panda/payrolls/7757500918633080. Need Q1 amend (austin.breedlove@gusto.com at Sep 10, 2019 at  1:05 PM)",2019143657.2972222222CO0080-0517757616923534840,7/5/2019,2019 1,Tier 3,"-$3,510.00","-$3,510.00",-$12.00,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0080-051,Manual,Dan,12/9/2019,,12/9/2019,Done,,Yes,"Not filing amendment b/c admin was abusive and banned from using Gusto

",,,22.0
4theweb,https://app.gusto.com/panda/companies/7757616923506329,Nevada State Unemployment Tax,NV0000-010,$882.00,$882.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Amendment required to move over reported wages in NV to CO due to incorrect address during payroll.  (todd.dowdy@gusto.com at Apr 30, 2019 at 11:55 AM)",2019143585.4923611111NV0000-0107757616923506329,4/26/2019,2019 1,Tier 1,-$882.00,-$882.00,$0.00,No,SW reduction,"Employee was overpaid wages, funds have been recouped",NV0000-010,Paper,Helper,12/9/2019,,,"In Progress,Need Import",No,No,MT- RTS?,State Tax,Ben,
